iteration,styrene,paa,temperature,time,pred,observed,truth,best
LHS-1,1.17,1.1,348.6,167.0,,0.5267,0.5456,0.5267
LHS-2,0.96,0.92,360.6,490.0,,0.4005,0.3692,0.5267
LHS-3,0.83,0.98,331.9,2918.0,,0.4706,0.4743,0.5267
LHS-4,0.89,0.89,309.1,2104.0,,0.4393,0.4268,0.5267
LHS-5,1.14,1.16,370.9,898.0,,0.1397,0.1376,0.5267
LHS-6,1.05,1.19,391.3,1160.0,,0.0179,0.0232,0.5267
LHS-7,1.01,0.87,407.9,1814.0,,0.0,0.0046,0.5267
LHS-8,1.11,0.81,316.8,3258.0,,0.5691,0.6016,0.5691
LHS-9,0.99,1.07,341.8,2825.0,,0.3128,0.3224,0.5691
LHS-10,0.87,1.02,388.5,2301.0,,0.0,0.0128,0.5691
BO-1,1.17,1.08,306.0,3177.0,0.6674,0.6409,0.6427,0.6409
BO-2,0.9,1.06,303.0,3167.0,0.6343,0.4961,0.4852,0.6409
BO-3,0.88,0.86,379.2,84.0,0.3255,0.3866,0.3901,0.6409
BO-4,1.06,1.18,315.4,3370.0,0.4791,0.7278,0.736,0.7278
BO-5,1.18,1.18,317.3,3306.0,0.519,0.7788,0.7738,0.7788
BO-6,1.19,1.18,320.3,2489.0,0.5503,0.7658,0.7625,0.7788
BO-7,1.19,1.16,319.6,2256.0,0.5736,0.7586,0.7556,0.7788
BO-8,1.15,1.16,318.9,3258.0,0.5993,0.7404,0.7503,0.7788
BO-9,1.17,1.19,324.6,1982.0,0.6162,0.728,0.7427,0.7788
BO-10,1.17,1.18,322.8,2543.0,0.6245,0.7362,0.7435,0.7788
BO-11,1.2,1.18,322.2,3416.0,0.6357,0.7302,0.7298,0.7788
BO-12,1.12,1.17,318.9,3065.0,0.6434,0.7475,0.7438,0.7788
BO-13,1.18,1.2,320.9,3553.0,0.6552,0.7495,0.7455,0.7788
BO-14,1.12,1.17,321.3,2713.0,0.6631,0.736,0.732,0.7788
BO-15,1.16,1.18,319.5,2382.0,0.6719,0.7615,0.7514,0.7788
