iteration,styrene,paa,temperature,time,pred,observed,truth,best
LHS-1,1.17,1.1,348.6,167.0,,0.5415,0.5456,0.5415
LHS-2,0.96,0.92,360.6,490.0,,0.375,0.3692,0.5415
LHS-3,0.83,0.98,331.9,2918.0,,0.4807,0.4743,0.5415
LHS-4,0.89,0.89,309.1,2104.0,,0.422,0.4268,0.5415
LHS-5,1.14,1.16,370.9,898.0,,0.1165,0.1376,0.5415
LHS-6,1.05,1.19,391.3,1160.0,,0.0291,0.0232,0.5415
LHS-7,1.01,0.87,407.9,1814.0,,0.0133,0.0046,0.5415
LHS-8,1.11,0.81,316.8,3258.0,,0.6018,0.6016,0.6018
LHS-9,0.99,1.07,341.8,2825.0,,0.3287,0.3224,0.6018
LHS-10,0.87,1.02,388.5,2301.0,,0.0124,0.0128,0.6018
BO-1,1.19,0.98,315.0,60.0,0.7295,0.0382,0.0508,0.6018
BO-2,0.99,1.17,332.7,60.0,0.5909,0.1516,0.1404,0.6018
BO-3,0.98,0.91,304.8,3600.0,0.6511,0.5248,0.5183,0.6018
BO-4,1.2,0.8,347.5,3600.0,0.5491,0.142,0.1552,0.6018
BO-5,0.8,1.2,312.7,3600.0,0.4483,0.6103,0.6077,0.6103
BO-6,1.2,1.0,383.8,60.0,0.5725,0.4587,0.4628,0.6103
BO-7,0.98,0.8,318.3,3216.0,0.6079,0.5572,0.5662,0.6103
BO-8,0.97,1.2,303.0,3600.0,0.4803,0.5744,0.5903,0.6103
BO-9,1.12,0.8,303.0,3600.0,0.6713,0.482,0.4866,0.6103
BO-10,1.09,0.8,315.9,2346.0,0.6932,0.553,0.5505,0.6103
BO-11,1.19,1.05,303.0,3600.0,0.4582,0.6188,0.6195,0.6188
BO-12,0.8,0.8,375.8,60.0,0.4331,0.3558,0.3552,0.6188
BO-13,1.12,0.94,306.4,2980.0,0.6525,0.5733,0.5627,0.6188
BO-14,0.8,1.2,413.0,60.0,0.3505,0.1239,0.1326,0.6188
BO-15,1.2,1.2,303.0,3600.0,0.583,0.6925,0.6862,0.6925
